acl 2.2.52-3
libglvnd 0.2.999+g4ba53457-2
libgpg-error 1.27-1
libgtop 2.36.0-1
libgudev 231+1+g0841288-1
libgusb 0.2.10-1
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-6
libindicator-gtk2 12.10.1-7
libinput 1.7.3-1
libisoburn 1.4.6-2
libisofs 1.4.6-1
libjpeg-turbo 1.5.1-1
libksba 1.3.4-2
libkscreen 5.10.2-1
libldap 2.4.44-5
liblxqt 0.11.1-1
libmariadbclient 10.1.24-1
libmatekbd 1.18.2-1
libmatemixer 1.18.0-1
libmateweather 1.18.1-1
libmicrohttpd 0.9.55-1
libmm-glib 1.6.8-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.0.3-2
libndp 1.6-1
libnetfilter_conntrack 1.0.6-1
libnewt 0.52.20-1
libnfnetlink 1.0.1-2
libnftnl 1.0.7-1
libnghttp2 1.23.1-1
libnl 3.2.29-2
libnm 1.8.0-1
libnm-glib 1.8.0-1
libnotify 0.7.7-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 2.0.0-1
libpng 1.6.29-1
libproxy 0.4.15-3
libpsl 0.17.0-2
libpulse 10.0-3
libqtxdg 2.0.0-2
libraw1394 2.1.2-1
librsvg 2:2.40.17-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5+14+g9980655-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.12-1
libsoup 2.58.1-1
libsoxr 0.1.2-1
libssh 0.7.5-2
libssh2 1.8.0-2
libsystemd 232-8
libtasn1 4.12-1
libteam 1.26-1
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-1
libtirpc 1.0.1-3
libtool 2.4.6-8
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libusb 1.0.21-2
libusbmuxd 1.0.10-2
libutil-linux 2.29.2-2
libuv 1.12.0-1
libva 1.8.2-1
libvdpau 1.1.1-2
libvoikko 4.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libwacom 0.24-1
libwbclient 4.6.5-1
libwebp 0.6.0-1
libwnck3 3.20.1-2
libx11 1.6.5-1
libx264 2:148.20170519-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.7.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+16+g07418011-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+42+gac341cbd-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20140629-2
linux 4.11.6-3
linux-api-headers 4.10.1-1
linux-atm 2.5.2-4
linux-firmware 20170422.ade8332-1
linux-lts 4.9.34-1
llvm-libs 4.0.0-3
lm_sensors 3.4.0-2
logrotate 3.12.2-1
lrzip 0.631-1
lsscsi 0.28-1
lua51 5.1.5-6
lua52 5.2.4-2
lvm2 2.02.171-1
lxdm 0.5.3-4
lximage-qt 0.5.1-2
lxmenu-data 0.1.5-1
lxqt-about 0.11.1-1
lxqt-admin 0.11.1-1
lxqt-common 0.11.2-1
lxqt-config 0.11.1-1
